{'dateTime': '2023-03-16T02:39:24', 'voltage_generator': None, 'current_generator': None, 'voltage_inverter': None, 'current_inverter': None, 'rpm': 0.0, 'windSpeed': 0.0, 'latitude': None, 'longitude': None}
{'dateTime': '2023-03-16T02:39:30', 'voltage_generator': None, 'current_generator': None, 'voltage_inverter': None, 'current_inverter': None, 'rpm': 0.0, 'windSpeed': 0.0, 'latitude': None, 'longitude': None}
{'dateTime': '2023-03-16T02:39:36', 'voltage_generator': None, 'current_generator': None, 'voltage_inverter': None, 'current_inverter': None, 'rpm': 0.0, 'windSpeed': 0.0, 'latitude': None, 'longitude': None}
{'dateTime': '2023-03-16T02:39:42', 'voltage_generator': None, 'current_generator': None, 'voltage_inverter': None, 'current_inverter': None, 'rpm': 0.0, 'windSpeed': 0.0, 'latitude': None, 'longitude': None}
{'dateTime': '2023-03-16T02:39:48', 'voltage_generator': None, 'current_generator': None, 'voltage_inverter': None, 'current_inverter': None, 'rpm': 0.0, 'windSpeed': 0.0, 'latitude': None, 'longitude': None}
{'dateTime': '2023-03-16T02:39:54', 'voltage_generator': None, 'current_generator': None, 'voltage_inverter': None, 'current_inverter': None, 'rpm': 0.0, 'windSpeed': 0.0, 'latitude': None, 'longitude': None}
{'dateTime': '2023-03-16T02:40:00', 'voltage_generator': None, 'current_generator': None, 'voltage_inverter': None, 'current_inverter': None, 'rpm': 0.0, 'windSpeed': 0.0, 'latitude': None, 'longitude': None}
{'dateTime': '2023-03-16T02:40:06', 'voltage_generator': None, 'current_generator': None, 'voltage_inverter': None, 'current_inverter': None, 'rpm': 0.0, 'windSpeed': 0.0, 'latitude': None, 'longitude': None}
{'dateTime': '2023-03-16T02:40:12', 'voltage_generator': None, 'current_generator': None, 'voltage_inverter': None, 'current_inverter': None, 'rpm': 0.0, 'windSpeed': 0.0, 'latitude': None, 'longitude': None}
{'dateTime': '2023-03-16T02:40:18', 'voltage_generator': None, 'current_generator': None, 'voltage_inverter': None, 'current_inverter': None, 'rpm': 0.0, 'windSpeed': 0.0, 'latitude': None, 'longitude': None}
{'dateTime': '2023-03-16T02:40:23', 'voltage_generator': None, 'current_generator': None, 'voltage_inverter': None, 'current_inverter': None, 'rpm': 0.0, 'windSpeed': 0.0, 'latitude': None, 'longitude': None}
{'dateTime': '2023-03-16T02:40:29', 'voltage_generator': None, 'current_generator': None, 'voltage_inverter': None, 'current_inverter': None, 'rpm': 0.0, 'windSpeed': 0.0, 'latitude': None, 'longitude': None}
{'dateTime': '2023-03-16T02:40:35', 'voltage_generator': None, 'current_generator': None, 'voltage_inverter': None, 'current_inverter': None, 'rpm': 0.0, 'windSpeed': 0.0, 'latitude': None, 'longitude': None}
